Scalar,R,G,B
0.0,0.0,0.0,0.5
0.015873015873,0.0,0.0,0.563492
0.031746031746,0.0,0.0,0.626984
0.047619047619,0.0,0.0,0.690476
0.0634920634921,0.0,0.0,0.753968
0.0793650793651,0.0,0.0,0.81746
0.0952380952381,0.0,0.0,0.880952
0.111111111111,0.0,0.0,0.944444
0.126984126984,0.0,0.007937,1.0
0.142857142857,0.0,0.071429,1.0
0.15873015873,0.0,0.134921,1.0
0.174603174603,0.0,0.198413,1.0
0.190476190476,0.0,0.261905,1.0
0.206349206349,0.0,0.325397,1.0
0.222222222222,0.0,0.388889,1.0
0.238095238095,0.0,0.452381,1.0
0.253968253968,0.0,0.515873,1.0
0.269841269841,0.0,0.579365,1.0
0.285714285714,0.0,0.642857,1.0
0.301587301587,0.0,0.706349,1.0
0.31746031746,0.0,0.769841,1.0
0.333333333333,0.0,0.833333,1.0
0.349206349206,0.0,0.896825,1.0
0.365079365079,0.0,0.960317,1.0
0.380952380952,0.02381,1.0,0.97619
0.396825396825,0.087302,1.0,0.912698
0.412698412698,0.150794,1.0,0.849206
0.428571428571,0.214286,1.0,0.785714
0.444444444444,0.277778,1.0,0.722222
0.460317460317,0.34127,1.0,0.65873
0.47619047619,0.404762,1.0,0.595238
0.492063492063,0.468254,1.0,0.531746
0.507936507937,0.531746,1.0,0.468254
0.52380952381,0.595238,1.0,0.404762
0.539682539683,0.65873,1.0,0.34127
0.555555555556,0.722222,1.0,0.277778
0.571428571429,0.785714,1.0,0.214286
0.587301587302,0.849206,1.0,0.150794
0.603174603175,0.912698,1.0,0.087302
0.619047619048,0.97619,1.0,0.02381
0.634920634921,1.0,0.960317,0.0
0.650793650794,1.0,0.896825,0.0
0.666666666667,1.0,0.833333,0.0
0.68253968254,1.0,0.769841,0.0
0.698412698413,1.0,0.706349,0.0
0.714285714286,1.0,0.642857,0.0
0.730158730159,1.0,0.579365,0.0
0.746031746032,1.0,0.515873,0.0
0.761904761905,1.0,0.452381,0.0
0.777777777778,1.0,0.388889,0.0
0.793650793651,1.0,0.325397,0.0
0.809523809524,1.0,0.261905,0.0
0.825396825397,1.0,0.198413,0.0
0.84126984127,1.0,0.134921,0.0
0.857142857143,1.0,0.071429,0.0
0.873015873016,1.0,0.007937,0.0
0.888888888889,0.944444,0.0,0.0
0.904761904762,0.880952,0.0,0.0
0.920634920635,0.81746,0.0,0.0
0.936507936508,0.753968,0.0,0.0
0.952380952381,0.690476,0.0,0.0
0.968253968254,0.626984,0.0,0.0
0.984126984127,0.563492,0.0,0.0
1.0,0.5,0.0,0.0
